gene,pathway,TCGA.KL.8332.01A,TCGA.KN.8426.11A,TCGA.KN.8423.01A,TCGA.KL.8327.01A,TCGA.KO.8409.01A,TCGA.KN.8430.01A,TCGA.KN.8422.11A,TCGA.KL.8338.01A,TCGA.KN.8432.11A,TCGA.KN.8429.01A,TCGA.KO.8415.11A,TCGA.KN.8436.11A,TCGA.KN.8432.01A,TCGA.KN.8424.11A,TCGA.KL.8324.11A,TCGA.KN.8437.01A,TCGA.KL.8342.01A,TCGA.KM.8443.01A,TCGA.KN.8434.01A,TCGA.KN.8429.11A,TCGA.KL.8329.01A,TCGA.KN.8435.11A,TCGA.KM.8477.01A,TCGA.KL.8331.01A,TCGA.KO.8403.01A,TCGA.KN.8419.11A,TCGA.KN.8433.01A,TCGA.KL.8334.01A,TCGA.KN.8424.01A,TCGA.KO.8417.01A,TCGA.KN.8430.11A,TCGA.KM.8639.01A,TCGA.KN.8421.01A,TCGA.KN.8428.01A,TCGA.KN.8427.01A,TCGA.KN.8436.01A,TCGA.KM.8442.01A,TCGA.KN.8418.01A,TCGA.KM.8438.01A,TCGA.KN.8425.01A,TCGA.KL.8323.01A,TCGA.KN.8437.11A,TCGA.KN.8435.01A,TCGA.KL.8346.01A,TCGA.KL.8326.01A,TCGA.KO.8414.01A,TCGA.KM.8441.01A,TCGA.KN.8428.11A,TCGA.KO.8406.01A,TCGA.KL.8336.11A,TCGA.KN.8431.01A,TCGA.KO.8410.01A,TCGA.KN.8423.11A,TCGA.KL.8339.01A,TCGA.KL.8325.01A,TCGA.KL.8330.01A,TCGA.KL.8343.01A,TCGA.KL.8326.11A,TCGA.KN.8425.11A,TCGA.KL.8340.01A,TCGA.KL.8336.01A,TCGA.KN.8431.11A,TCGA.KO.8403.11A,TCGA.KM.8440.01A,TCGA.KN.8427.11A,TCGA.KL.8333.01A,TCGA.KN.8434.11A,TCGA.KO.8407.01A,TCGA.KO.8408.01A,TCGA.KL.8339.11A,TCGA.KN.8426.01A,TCGA.KL.8341.01A,TCGA.KM.8476.01A,TCGA.KN.8433.11A,TCGA.KL.8328.01A,TCGA.KO.8413.01A,TCGA.KO.8405.01A,TCGA.KO.8404.01A,TCGA.KO.8416.01A,TCGA.KL.8344.01A,TCGA.KL.8335.01A,TCGA.KO.8411.01A,TCGA.KL.8345.01A,TCGA.KL.8324.01A,TCGA.KL.8329.11A,TCGA.KO.8415.01A,TCGA.KL.8337.01A,TCGA.KM.8439.01A,TCGA.KN.8419.01A
PHYH,HALLMARK_OXIDATIVE_PHOSPHORYLATION,19.29235991,18.87270544,20.97356133,19.99757054,20.65090416,21.35532242,19.39362633,19.87174697,19.75474375,19.52708279,19.28950653,18.59770921,19.67375691,19.22874626,20.16600547,20.21349499,20.93651217,20.1392879,20.19524435,19.34989425,19.63174113,19.21335402,21.19314883,21.05283629,20.99130514,19.41845692,21.39162003,20.16013058,20.05204929,19.91195865,19.01427743,19.74726249,19.13698261,20.54294895,18.80144471,20.79289077,20.53543795,19.86435194,21.44500952,20.17791455,19.74422313,17.8106009,21.12556302,20.28818526,20.64279185,20.50975438,20.81093416,19.95766551,20.12457915,17.99692315,21.36759301,20.05429218,18.90150902,20.59575563,20.94878492,21.35806117,20.57760819,19.8658055,18.60745917,20.53841059,21.31653996,18.72048939,18.72576431,20.73406372,19.64479951,19.89709414,20.5493301,19.76356608,20.97908541,20.75425832,20.66778313,21.00488529,19.80539316,20.46532238,20.74767515,21.06553669,20.86681474,16.73148985,20.71537195,19.4610331,21.26600938,20.08179285,20.89182478,20.75248262,19.92728498,20.50992703,20.0532536,20.34388809,21.35215133
ATP6V0D2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,22.93143087,18.24347225,23.72101069,22.55781723,24.17801052,23.84604384,19.50313322,23.85807769,20.24913511,23.08434039,20.71608978,18.82134307,22.46786213,19.89299085,19.5697336,18.11162403,23.86958642,24.45604665,23.64167101,20.97399059,23.27319509,19.47125674,23.51431899,23.82274047,23.80993175,18.81683156,21.96153335,24.05450788,23.54436866,23.12542847,20.58925721,20.93264228,22.83035835,22.80066187,12.48367913,22.13111088,23.19416344,23.87590023,23.35221454,23.65683651,23.74589369,17.58677591,23.57918769,23.45939052,24.15111407,22.5999237,20.98167231,20.75258698,23.79431672,19.461423,23.58481825,24.26013497,18.66800514,23.63192138,23.86125662,23.81702267,23.73536075,20.77083612,20.18199023,23.46785015,23.66402244,20.33182691,19.2278689,23.950058,19.63555486,23.34959725,20.87205418,23.38829721,23.64918731,20.98771685,23.69618537,22.62078095,22.98883816,19.11065774,24.08372221,23.45158492,23.3803545,17.15307063,23.2293579,22.61279017,23.70403757,23.16292981,24.22698575,23.18826607,20.03845748,23.35399754,22.44608508,20.65596432,23.58220098
CKMT1B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,17.06830627,11.96206887,16.14590681,18.29797639,18.35312437,17.57204115,13.31861245,17.45978007,12.68793226,16.29587516,13.65488161,13.73116873,16.1210473,13.8211834,13.49151058,15.50252383,17.64100947,17.27495069,17.56019466,13.27569148,16.3639732,13.59493683,17.67080879,17.81087568,17.45779597,11.8721613,17.41799045,17.38900957,16.71268055,17.48098328,13.5202854,15.22954122,15.04966894,16.40576521,7.730475356,16.26715715,16.39193859,16.38721667,17.02008425,17.63255555,17.19534323,13.20294626,16.34432353,17.06653625,16.6218352,17.41488044,16.82816247,14.23086316,17.09661033,14.0672563,17.2966536,14.8652879,13.14000082,16.83288309,16.88925975,17.46045901,16.20706794,14.13740888,13.38873064,16.77128139,17.00960402,13.08452002,13.06727068,16.65034812,14.15164167,16.2429132,13.97691075,17.35030175,17.83070303,13.97652566,16.18964582,16.01030291,18.76827445,13.91762728,18.17610606,16.77885653,17.93411912,0,17.65174019,12.93556629,16.21878762,17.77159573,17.38920306,16.38261671,13.76102034,18.29911329,17.05482902,15.37507159,17.96680856
ATP6V1B1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,22.12239193,18.79865299,23.04162105,23.9209656,23.90228052,23.04935033,20.39424831,22.94102237,19.62363425,22.15633288,21.09724964,19.50027059,22.03240962,20.09910733,21.02799842,16.85169542,23.56969296,23.09724599,22.80050834,20.94246828,22.13841883,20.83883464,22.10575693,23.0010559,22.35503211,19.0690945,23.34285016,22.74009811,21.96375255,23.27273792,20.92261533,19.74824565,23.92342292,21.41724147,13.82532209,21.83710747,22.26228386,22.66845931,23.43056412,23.16495846,21.74444589,19.7799304,22.56709516,24.13197236,24.68559112,23.35765444,21.27329607,21.60406521,22.50814054,18.72117184,23.19794321,24.06318222,18.50847128,21.94174722,22.00345851,23.88060324,23.47293393,21.37939331,19.60977961,22.16588541,22.78985473,20.21771579,18.57501804,23.44957881,20.23632934,22.33463463,21.80535798,23.07565018,23.01447852,21.08011923,22.02769716,22.39098702,22.56604721,21.25510253,22.82531228,22.9277808,22.05177296,15.98178855,22.54971754,21.11202126,23.00679877,21.99015632,22.99578892,23.01804079,20.9083108,23.75929979,22.5118096,20.94495746,23.2889812
ANG,HALLMARK_OXIDATIVE_PHOSPHORYLATION,13.08864765,15.79458873,12.13603129,9.518165372,13.27756916,13.99588026,16.3792285,12.17617487,16.71558576,12.82214606,16.6399732,16.28879276,13.10799855,16.21713148,17.8367789,13.24485457,13.72969792,12.95289234,12.76785222,16.53937477,14.05441457,17.04367642,13.13123711,13.46431309,13.80714722,16.85114883,14.73612619,13.77694183,13.18299595,12.89566978,15.76163438,13.34577984,14.64742531,14.67091862,15.39493761,14.52904688,13.87058711,12.49099156,12.70719241,12.84711447,14.62941852,16.80365448,13.11839476,13.22517389,12.12209197,13.21618604,13.6285068,16.36120325,12.22946448,17.10934226,11.02679298,12.77871593,16.17262045,13.12510145,12.68296096,13.75429082,13.40501847,16.4295625,16.30735886,12.87523833,13.45309043,16.32833937,15.57256123,12.32525509,16.42035141,14.57380207,17.25361527,12.92452725,14.66155672,18.07463452,12.86387853,12.58109212,13.8545397,17.94015658,14.6980239,14.16707171,15.43476006,16.7563494,14.04525547,12.57894988,13.89045391,12.39653919,12.58939794,13.95088509,17.71263632,14.24590716,11.38267084,13.11615564,12.69562168
B3GNT3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,8.015504851,17.90292761,10.71335883,9.831534921,10.00761767,11.04174179,16.37976901,12.0374483,19.21244133,10.24380651,18.05913706,19.25135683,7.96793141,16.896163,17.31995707,10.11918526,13.15041977,0,9.498433016,19.16169479,11.88733812,16.41553937,13.68372697,8.652246869,10.46974174,16.87285528,0,9.976548677,12.09482639,7.462549821,18.69265622,10.16879619,10.10445334,10.92235126,13.4249965,0,11.55001064,9.931504107,0,9.939750111,11.35870274,18.49479015,9.930965032,9.733118627,10.56200797,14.06903135,10.06902161,15.83908427,0,14.65208346,0,13.69571454,19.90106637,0,0,8.955372573,11.85653225,15.95623023,17.01581409,0,9.106370794,19.15034822,18.20451469,0,16.58962451,12.78190727,15.3234698,9.181688621,9.562127461,15.48777469,9.594344181,11.7315364,9.999681346,15.88314462,11.70959184,10.57480306,14.19676284,9.921831502,9.934134993,12.99218098,8.622814943,8.543971236,9.168461802,9.839858535,15.54216201,14.2303545,10.33443232,0,7.845519484
DCN,HALLMARK_OXIDATIVE_PHOSPHORYLATION,7.536611283,20.24126302,11.85628072,13.63436772,13.99009163,15.07927918,19.81435926,12.02267122,19.49587283,11.10456512,20.23150522,19.19246663,14.06985759,19.35948165,20.02812341,16.23246474,14.38543691,6.798386028,13.03787777,19.08445426,15.2186086,20.0472842,14.92540155,13.81870951,11.7656474,19.81358958,16.56632649,12.93160736,13.94312571,12.97905174,17.42938066,15.53822307,13.90136158,15.98852742,17.78562227,14.75401104,14.11520534,13.16333013,10.54060111,14.70832353,10.28031365,20.62929098,14.08992015,11.1816824,14.66497276,12.08244568,17.2666549,20.07843647,13.08681725,20.45434535,7.864958702,14.84888466,21.25086502,12.73831996,11.84921191,10.79410556,16.02154311,20.55749766,18.05643102,13.28231679,12.47257191,18.1694338,19.44434259,14.19952634,17.4756939,19.08075385,19.55494331,10.39961166,16.78188179,20.5524601,10.43434911,10.73628627,13.44803929,18.89663626,11.56957406,15.20132099,18.01625739,21.58946854,13.16596343,13.6125585,17.51662546,14.73501207,13.55533835,13.20908618,19.64033475,14.38270938,12.99923349,14.94695931,14.25605393
HS6ST2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,9.229667424,17.23506789,7.034003008,8.728770738,0,8.481084313,18.53615612,12.79332074,17.40605495,8.918623611,18.07683527,18.11181248,0,17.68473131,17.45663816,14.71775427,7.660507522,8.166908612,9.201659685,16.42661755,9.521302912,17.80448412,7.70332858,9.715713837,8.146846231,17.85408116,7.148095535,7.294786446,7.192454445,6.367344123,17.33203803,18.84677762,8.004187913,9.012464466,9.913692583,9.932277931,7.206816364,6.259434956,10.53009917,7.258188443,9.033931218,14.94115591,6.258902373,8.630482868,0,0,14.99288499,17.52119158,6.287003555,14.78215537,8.653894661,7.296447366,16.27406682,6.397133358,8.573774347,6.281581698,10.61497532,16.24123751,18.41332166,7.568275537,6.431021862,17.52019749,17.7985635,6.463126449,18.19051203,10.06179697,18.30333663,6.505620839,9.457686426,17.79388779,6.503877253,6.005307366,0,19.00136071,8.287273836,10.0555911,8.222470671,12.81595898,6.840717003,10.06933503,6.530259934,6.452088973,8.801570345,0,16.94223343,7.846574232,8.746665735,11.43260002,8.738031615
NDST3,HALLMARK_OXIDATIVE_PHOSPHORYLATION,7.411470329,12.90082871,9.522552047,8.227823368,0,9.976111134,12.9713338,8.508125993,13.33654513,9.829899688,12.44593921,12.53869492,7.946034749,13.57744694,12.01960928,13.11313872,8.739338237,9.661299689,8.70031678,12.29130823,10.01836693,13.35086274,0,9.365825351,9.057132372,13.41402896,6.649962941,9.24501708,10.07385059,5.872241523,12.43020222,7.888623483,5.935007799,5.53867981,5.736705542,9.016188973,11.28019697,8.327576134,7.91726338,9.748048952,10.89880284,10.08405538,8.910502415,8.712879663,0,0,11.98464827,13.03297535,8.355419743,10.80772514,0,10.10811326,11.36058204,0,7.752398124,7.767190884,7.796268815,12.24293514,13.22743248,8.384542369,8.500791535,13.18098338,11.55919872,8.270923949,11.9507758,6.665475647,13.13168523,8.576039788,6.385665895,12.5317725,9.572387699,6.496377166,8.809580249,13.14203162,8.200236342,8.969789478,11.71569826,12.80545042,0,8.482205689,7.604597001,7.93904386,5.99681298,9.40339278,12.19441028,7.346819518,8.245700921,11.90409614,6.251348967
G6PC,HALLMARK_XENOBIOTIC_METABOLISM,13.72038909,15.16085728,0,13.48154654,7.908813515,0,17.46970167,9.594517702,15.06778346,0,17.07352916,14.7189208,10.76645897,16.77363746,19.35728389,0,10.04820655,0,9.302196911,10.57310516,11.17648037,19.99146312,0,8.135341361,8.148008873,15.71342821,9.311252549,10.45768698,6.78185718,7.941771455,11.53185955,12.53197373,8.005350127,6.610636546,0,0,0,0,7.42324265,0,9.03509575,13.5666382,7.832412209,10.02171063,10.78038417,7.022473079,7.970025506,16.98358054,6.866951107,11.9679224,0,9.460381685,14.79435127,6.977536139,13.20937602,0,10.87902253,19.73839927,11.09610367,9.733441536,0,16.8048957,12.35572209,9.841738008,12.069613,9.548967369,19.50600499,0,8.460900176,20.11771816,7.08468919,9.156293809,0,18.85438272,7.293043802,7.066207461,10.5416954,9.725521377,7.422637763,10.95970005,0,8.027186444,8.65109031,8.907797495,21.04547578,0,7.018673556,7.220558097,7.32977402
