GLYCOLYSIS	TCA_CYCLE	OXPHOS
PAXIP1		HSPA9
PC		HTRA2
PDK3		IDH1
PGLS		IDH3A
PHKA2		IDH3G
PKP2		IMMT
PLOD1		ISCA1
PLOD2		ISCU
PMM2		LDHA
POLR3K		LDHB
PPFIA4		LRPPRC
PPIA		MDH1
PRPS1		MDH2
PSMC4		MFN2
PYGB		MGST3
PYGL		MPC1
QSOX1		MRPL11
RARS1		MRPL15
RBCK1		MRPL34
RPE		MRPL35
RRAGD		MRPS11
SAP30		MRPS12
SDC1		MRPS15
SDC2		MRPS22
SDC3		MRPS30
SDHC		MTRF1
SLC16A3		MTRR
SLC25A10		MTX2
SLC25A13		NNT
SLC35A3		NQO2
SLC37A4		OAT
SOD1		OGDH
SOX9		OPA1
SPAG4		OXA1L
SRD5A3		PDHA1
STC1		PDHB
STC2		PDHX
STMN1		PDK4
TALDO1		PDP1
TFF3		PHB2
TGFA		PHYH
TGFBI		PMPCA
TKTL1		POLR2F
TPBG		POR
TPST1		PRDX3
TXN		RETSAT
UGP2		RHOT1
VCAN		RHOT2
VEGFA		SLC25A11
VLDLR		SLC25A12
XYLT2		SLC25A20
ZNF292		SLC25A4
G6PC		SLC25A6
MPC1		SUCLA2
MPC2		SUPV3L1
SLC2A1		TIMM10
SLC2A2		TIMM13
SLC2A3		TIMM17A
SLC2A4		TIMM50
SLC2A5		TIMM8B
ALDH1A3		TIMM9
		TOMM22
		TOMM70
		VDAC2
		VDAC3
